Id	LotArea	paved_street	Alley	regular_lot_shape	level_land_contour	gentle_land_slope	one_family_building	YearBuilt	YearRemodAdd	BsmtFinSF1	BsmtFinSF2	BsmtUnfSF	TotalBsmtSF	central_air	1stFlrSF	2ndFlrSF	LowQualFinSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenAbvGr	TotRmsAbvGrd	Fireplaces	GarageCars	GarageArea	paved_driveway	WoodDeckSF	OpenPorchSF	EnclosedPorch	3SsnPorch	ScreenPorch	PoolArea	MiscVal	YrSold	SalePrice
1	8450	1	0	1	1	1	1	2003	2003	706	0	150	856	1	856	854	0	1710	1	0	2	1	3	1	8	0	2	548	1	0	61	0	0	0	0	0	2008	208500
2	9600	1	0	1	1	1	1	1976	1976	978	0	284	1262	1	1262	0	0	1262	0	1	2	0	3	1	6	1	2	460	1	298	0	0	0	0	0	0	2007	181500
3	11250	1	0	0	1	1	1	2001	2002	486	0	434	920	1	920	866	0	1786	1	0	2	1	3	1	6	1	2	608	1	0	42	0	0	0	0	0	2008	223500
4	9550	1	0	0	1	1	1	1915	1970	216	0	540	756	1	961	756	0	1717	1	0	1	0	3	1	7	1	3	642	1	0	35	272	0	0	0	0	2006	140000
5	14260	1	0	0	1	1	1	2000	2000	655	0	490	1145	1	1145	1053	0	2198	1	0	2	1	4	1	9	1	3	836	1	192	84	0	0	0	0	0	2008	250000
6	14115	1	0	0	1	1	1	1993	1995	732	0	64	796	1	796	566	0	1362	1	0	1	1	1	1	5	0	2	480	1	40	30	0	320	0	0	700	2009	143000
7	10084	1	0	1	1	1	1	2004	2005	1369	0	317	1686	1	1694	0	0	1694	1	0	2	0	3	1	7	1	2	636	1	255	57	0	0	0	0	0	2007	307000
8	10382	1	0	0	1	1	1	1973	1973	859	32	216	1107	1	1107	983	0	2090	1	0	2	1	3	1	7	2	2	484	1	235	204	228	0	0	0	350	2009	200000
9	6120	1	0	1	1	1	1	1931	1950	0	0	952	952	1	1022	752	0	1774	0	0	2	0	2	2	8	2	2	468	1	90	0	205	0	0	0	0	2008	129900
10	7420	1	0	1	1	1	0	1939	1950	851	0	140	991	1	1077	0	0	1077	1	0	1	0	2	2	5	2	1	205	1	0	4	0	0	0	0	0	2008	118000
11	11200	1	0	1	1	1	1	1965	1965	906	0	134	1040	1	1040	0	0	1040	1	0	1	0	3	1	5	0	1	384	1	0	0	0	0	0	0	0	2008	129500
12	11924	1	0	0	1	1	1	2005	2006	998	0	177	1175	1	1182	1142	0	2324	1	0	3	0	4	1	11	2	3	736	1	147	21	0	0	0	0	0	2006	345000
13	12968	1	0	0	1	1	1	1962	1962	737	0	175	912	1	912	0	0	912	1	0	1	0	2	1	4	0	1	352	1	140	0	0	0	176	0	0	2008	144000
14	10652	1	0	0	1	1	1	2006	2007	0	0	1494	1494	1	1494	0	0	1494	0	0	2	0	3	1	7	1	3	840	1	160	33	0	0	0	0	0	2007	279500
15	10920	1	0	0	1	1	1	1960	1960	733	0	520	1253	1	1253	0	0	1253	1	0	1	1	2	1	5	1	1	352	1	0	213	176	0	0	0	0	2008	157000
16	6120	1	0	1	1	1	1	1929	2001	0	0	832	832	1	854	0	0	854	0	0	1	0	2	1	5	0	2	576	1	48	112	0	0	0	0	0	2007	132000
17	11241	1	0	0	1	1	1	1970	1970	578	0	426	1004	1	1004	0	0	1004	1	0	1	0	2	1	5	1	2	480	1	0	0	0	0	0	0	700	2010	149000
18	10791	1	0	1	1	1	0	1967	1967	0	0	0	0	1	1296	0	0	1296	0	0	2	0	2	2	6	0	2	516	1	0	0	0	0	0	0	500	2006	90000
19	13695	1	0	1	1	1	1	2004	2004	646	0	468	1114	1	1114	0	0	1114	1	0	1	1	3	1	6	0	2	576	1	0	102	0	0	0	0	0	2008	159000
20	7560	1	0	1	1	1	1	1958	1965	504	0	525	1029	1	1339	0	0	1339	0	0	1	0	3	1	6	0	1	294	1	0	0	0	0	0	0	0	2009	139000
